"#","Qty","Reference","Value","Manufacturer","Manufacturer Part No","JLCPCB Part #","Package","Footprint"
"1","4","C201,C205,C801,C805","0.1uF 10% 50V","YAGEO","CC0603KRX7R9BB104","C14663","0603","JLCPCB Basic:CAPC1608X90N"
"2","1","C203","10uF 10% 50V","Samsung Electro-Mechanics","CL31A106KBHNNNE","C13585","1206","JLCPCB Basic:CAPC3216X180N"
"3","1","C802","22nF 10% 50V","Samsung Electro-Mechanics","CL10B223KB8NNNC","C21122","0603","JLCPCB Basic:CAPC1608X90N"
"4","2","C804,C806","22uF 20% 25V","Samsung Electro-Mechanics","CL21A226MAQNNNE","C45783","0805","JLCPCB Basic:CAPC2012X75N"
"5","1","C809","0.47uF 10% 50V","Samsung Electro-Mechanics","CL21B474KBFNNNE","C13967","0805","JLCPCB Basic:CAPC2012X135N"
"6","1","D201","KT-0805Y","Hubei KENTO Elec","KT-0805Y","C2296","0805","JLCPCB Basic:LED_0805_2012Metric"
"7","1","D202","KT-0805G","Hubei KENTO Elec","KT-0805G","C2297","0805","JLCPCB Basic:LED_0805_2012Metric"
"8","1","D303","13V 21.5V 1uA Leak","Littelfuse","SMBJ13CA","C224008","DO-214AA","LITTELFUSE Diodes:DO-214AA_Bidirectional"
"9","1","D602","5A 40V 500mV","onsemi","MBRS540T3G","C31849","SMC(DO-214AB)","ONSEMI Diodes:DIOM7958X256N"
"10","1","IC801","LM5060MMX_NOPB","Texas Instruments","LM5060MMX/NOPB","C2676940","VSSOP-10-0.5mm","TEXAS INSTRUMENTS ICs:SOP50P490X110-10N-LM5060"
"11","2","J301,J302","A2541WV-10P","CJT(Changjiang Connectors)","A2541WV-10P","C225485","Plugin,P=2.54mm","CJT Connectors:PinHeader_1x10_P2.54mm_Vertical_Male"
"12","1","J303","1715721"," Phoenix Contact"," 1715721","C480516","Plugin,P=5.08mm","PHOENIX CONTACT Terminals:1715721"
"13","1","J304","A2541HWV-3P","CJT(Changjiang Connectors)","A2541HWV-3P","C225500","Plugin,P=2.54mm","CJT Connectors:PinSocket_1x03_P2.54mm_Vertical_Female"
"14","1","Q801","60V 38A","onsemi","NVD5C684NLT4G","C236252","DPAK","ONSEMI Transistors:DPAK__SINGLE-GAUGE__TO-252_369C__ISSUE_F"
"15","2","R201,R203","33Ω 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F330JT5E","C17634","0805","JLCPCB Basic:RESC2013X65N"
"16","2","R202,R805","4.7kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F4701T5E"," C17673","0805","JLCPCB Basic:RESC2013X65N"
"17","3","R204,R801,R802","10kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F1002T5E","C17414","0805","JLCPCB Basic:RESC2013X65N"
"18","1","R401","0Ω 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F0000T5E","C17477","0805","JLCPCB Basic:RESC2013X65N"
"19","1","R803","56kΩ 1/4W 1%","YAGEO","RC1206FR-0756KL","C137251","1206","YAGEO Resistors:RESC3116X65N"
"20","1","R804","68kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F6802T5E","C17801","0805","JLCPCB Basic:RESC2013X65N"
"21","1","R806","6.8kΩ 1/8W 1%","UNI-ROYAL(Uniroyal Elec)","0805W8F6801T5E","C17772","0805","JLCPCB Basic:RESC2013X65N"
"22","1","S201","Push Button SPST","XUNPU","TS-1088-AR02016","C720477","SMD,4x3mm","JLCPCB Basic:SW_TS-1088-AR02016"
"23","3","TP202,TP401,U201","ATtiny1614-SS,TestPoint","","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,TestPoint:TestPoint_Pad_2.0x2.0mm"
