"Comment","Designator","Footprint","JLCPCB Part #"
"0.1uF 10% 50V","C201,C205,C801,C805","0603","C14663"
"10uF 10% 50V","C203","1206","C13585"
"22nF 10% 50V","C802","0603","C21122"
"22uF 20% 25V","C804,C806","0805","C45783"
"0.47uF 10% 50V","C809","0805","C13967"
"KT-0805Y","D201","0805","C2296"
"KT-0805G","D202","0805","C2297"
"13V 21.5V 1uA Leak","D303","DO-214AA","C224008"
"5A 40V 500mV","D602","SMC(DO-214AB)","C31849"
"LM5060MMX_NOPB","IC801","VSSOP-10-0.5mm","C2676940"
"A2541WV-10P","J301,J302","Plugin,P=2.54mm","C225485"
"1715721","J303","Plugin,P=5.08mm","C480516"
"A2541HWV-3P","J304","Plugin,P=2.54mm","C225500"
"60V 38A","Q801","DPAK","C236252"
"33? 1/8W 1%","R201,R203","0805","C17634"
"4.7k? 1/8W 1%","R202,R805","0805"," C17673"
"10k? 1/8W 1%","R204,R801,R802","0805","C17414"
"0? 1/8W 1%","R401","0805","C17477"
"56k? 1/4W 1%","R803","1206","C137251"
"68k? 1/8W 1%","R804","0805","C17801"
"6.8k? 1/8W 1%","R806","0805","C17772"
"Push Button SPST","S201","SMD,4x3mm","C720477"
"ATtiny1614-SS,TestPoint","TP202,TP401,U201","",""
