"Designator","Mid X","Mid Y","Layer","Rotation"
"C201","136.800000","-83.500000","top","0.000000"
"C203","136.200000","-81.500000","top","180.000000"
"C205","153.300000","-74.800000","top","90.000000"
"C801","142.100000","-100.900000","top","180.000000"
"C802","133.600000","-95.200000","top","90.000000"
"C804","154.000000","-104.100000","top","90.000000"
"C805","131.800000","-107.800000","top","90.000000"
"C806","130.000000","-107.700000","top","90.000000"
"C809","135.400000","-95.400000","top","90.000000"
"D201","128.100000","-72.762500","top","90.000000"
"D202","123.700000","-72.750000","top","90.000000"
"D303","125.400000","-106.900000","top","-90.000000"
"D602","130.700000","-118.500000","top","-90.000000"
"IC801","140.598988","-98.200000","top","180.000000"
"J303","137.716012","-118.550000","top","0.000000"
"J304","141.360000","-72.600000","top","90.000000"
"Q801","144.356012","-107.350000","top","180.000000"
"R201","128.100000","-77.700000","top","90.000000"
"R202","145.500000","-77.900000","top","0.000000"
"R203","123.700000","-77.700000","top","90.000000"
"R204","150.000000","-77.900000","top","180.000000"
"R401","135.900000","-102.000000","top","-90.000000"
"R801","148.600000","-94.050000","top","-90.000000"
"R802","151.000000","-96.200000","top","-90.000000"
"R803","148.600000","-98.200000","top","-90.000000"
"R804","151.000000","-100.200000","top","-90.000000"
"R805","138.900000","-101.200000","top","180.000000"
"R806","145.300000","-101.600000","top","-90.000000"
"S201","156.500000","-74.900000","top","90.000000"
"U201","142.000000","-87.500000","top","0.000000"
"J301","120.000000","-110.060000","bottom","0.000000"
"J302","160.000000","-110.060000","bottom","0.000000"
