Ref,Val,Package,PosX,PosY,Rot,Side
"C201","0.1uF 10% 50V","CAPC1608X90N",136.800000,-83.500000,0.000000,top
"C203","10uF 10% 50V","CAPC3216X180N",136.200000,-81.500000,180.000000,top
"C205","0.1uF 10% 50V","CAPC1608X90N",153.300000,-74.800000,90.000000,top
"C801","0.1uF 10% 50V","CAPC1608X90N",142.100000,-100.900000,180.000000,top
"C802","22nF 10% 50V","CAPC1608X90N",133.600000,-95.200000,90.000000,top
"C804","22uF 20% 25V","CAPC2012X75N",154.000000,-104.100000,90.000000,top
"C805","0.1uF 10% 50V","CAPC1608X90N",131.800000,-107.800000,90.000000,top
"C806","22uF 20% 25V","CAPC2012X75N",130.000000,-107.700000,90.000000,top
"C809","0.47uF 10% 50V","CAPC2012X135N",135.400000,-95.400000,90.000000,top
"D201","KT-0805Y","LED_0805_2012Metric",128.100000,-72.762500,90.000000,top
"D202","KT-0805G","LED_0805_2012Metric",123.700000,-72.750000,90.000000,top
"D303","13V 21.5V 1uA Leak","DO-214AA_Bidirectional",125.400000,-106.900000,-90.000000,top
"D602","5A 40V 500mV","DIOM7958X256N",130.700000,-118.500000,-90.000000,top
"IC801","LM5060MMX_NOPB","SOP50P490X110-10N-LM5060",140.598988,-98.200000,180.000000,top
"J303","1715721","1715721",137.716012,-118.550000,0.000000,top
"J304","A2541HWV-3P","PinSocket_1x03_P2.54mm_Vertical_Female",141.360000,-72.600000,90.000000,top
"Q801","60V 38A","DPAK__SINGLE-GAUGE__TO-252_369C__ISSUE_F",144.356012,-107.350000,180.000000,top
"R201","33Ω 1/8W 1%","RESC2013X65N",128.100000,-77.700000,90.000000,top
"R202","4.7kΩ 1/8W 1%","RESC2013X65N",145.500000,-77.900000,0.000000,top
"R203","33Ω 1/8W 1%","RESC2013X65N",123.700000,-77.700000,90.000000,top
"R204","10kΩ 1/8W 1%","RESC2013X65N",150.000000,-77.900000,180.000000,top
"R401","0Ω 1/8W 1%","RESC2013X65N",135.900000,-102.000000,-90.000000,top
"R801","10kΩ 1/8W 1%","RESC2013X65N",148.600000,-94.050000,-90.000000,top
"R802","10kΩ 1/8W 1%","RESC2013X65N",151.000000,-96.200000,-90.000000,top
"R803","56kΩ 1/4W 1%","RESC3116X65N",148.600000,-98.200000,-90.000000,top
"R804","68kΩ 1/8W 1%","RESC2013X65N",151.000000,-100.200000,-90.000000,top
"R805","4.7kΩ 1/8W 1%","RESC2013X65N",138.900000,-101.200000,180.000000,top
"R806","6.8kΩ 1/8W 1%","RESC2013X65N",145.300000,-101.600000,-90.000000,top
"S201","Push Button SPST","SW_TS-1088-AR02016",156.500000,-74.900000,90.000000,top
"U201","ATtiny1614-SS","SOIC-14_3.9x8.7mm_P1.27mm",142.000000,-87.500000,0.000000,top
